Date,Time,GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,VSpd(m/s),Ptch(rad),Roll(rad),Yaw(rad),RxBt(V),Curr(A),Capa(mAh),Bat%(%),FM,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-13,16:52:40.470,,0.0,0.0,-1,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-38,-32,100,12,1,7,10,-27,100,12,1,1,-1024,2,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:40.670,,0.0,0.0,-1,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-41,-31,99,12,1,7,10,-29,100,13,-1,0,-1024,1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:40.870,,0.0,0.0,3,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-41,-31,99,12,1,7,10,-34,100,13,1,0,-1024,-1,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:41.070,,0.0,0.0,3,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-41,-31,99,12,1,7,10,-34,100,13,0,1,-1024,1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:41.270,,0.0,0.0,3,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-39,-34,100,12,1,7,10,-30,100,13,1,1,-1024,2,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:41.470,,0.0,0.0,3,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-39,-34,100,12,1,7,10,-32,100,13,0,3,-1024,0,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1501,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:41.670,,0.0,0.0,3,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-39,-34,100,12,1,7,10,-32,100,13,2,-1,-1024,0,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:41.870,,0.0,0.0,3,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-42,-42,100,12,1,7,10,-38,100,14,3,0,-1024,2,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1501,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:42.070,,0.0,0.0,3,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-42,-42,100,12,1,7,10,-39,100,13,0,0,-1024,0,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:42.270,,0.0,0.0,3,0,0.5,0.0,0.01,0.29,50.1,1.4,4,99,ACRO,-42,-42,100,12,1,7,10,-39,100,13,1,0,-1024,1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:42.470,,0.0,0.0,3,0,0.5,0.0,0.01,0.29,49.8,0.1,21,99,ACRO,-39,-45,100,12,0,7,10,-33,100,13,3,1,-1024,1,1024,-1004,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1501,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:42.670,,0.0,0.0,3,0,0.5,0.0,0.01,0.29,49.8,0.1,21,99,ACRO,-39,-45,100,12,0,7,10,-41,100,13,0,1,-1024,3,1024,-1004,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:42.870,,0.0,0.0,3,0,0.5,0.0,0.01,0.29,49.8,0.1,21,99,ACRO,-38,-46,100,12,0,7,10,-43,100,13,1,0,-1024,1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:43.070,,0.0,0.0,3,0,0.5,0.0,0.01,0.29,49.8,0.1,21,99,ACRO,-38,-46,100,12,0,7,10,-33,100,12,2,2,-1024,2,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:43.270,,0.0,0.0,3,0,0.5,0.0,0.01,0.29,49.8,0.1,21,99,ACRO,-38,-46,100,12,0,7,10,-35,100,13,0,1,-1024,1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:43.470,,0.0,0.0,3,0,0.5,0.0,0.01,0.26,49.8,0.1,21,99,ACRO,-38,-46,100,12,0,7,10,-35,100,13,1,0,-1024,1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:43.670,,0.0,0.0,3,0,0.5,0.0,0.01,0.26,49.8,0.1,21,99,ACRO,-38,-46,100,12,0,7,10,-33,100,13,1,1,-1024,1,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:43.870,,0.0,0.0,3,0,0.5,0.0,0.01,0.26,49.8,0.1,21,99,ACRO,-38,-46,100,12,0,7,10,-38,100,13,1,1,-1024,1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:44.070,,0.0,0.0,3,0,0.5,0.0,0.01,0.26,49.8,0.1,21,99,ACRO,-38,-46,100,12,0,7,10,-40,100,13,0,0,-1024,2,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:44.270,,0.0,0.0,3,0,0.5,0.0,0.01,0.26,49.8,0.1,21,99,ACRO,-39,-48,100,12,0,7,10,-34,100,13,2,0,-1024,0,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:44.470,,0.0,0.0,3,0,0.5,0.0,0.01,0.26,49.8,0.1,21,99,WAIT,-39,-48,100,12,0,7,10,-35,100,13,0,1,-1024,1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:44.670,,0.0,0.0,3,0,0.5,0.0,0.01,0.26,49.8,0.1,21,99,WAIT,-39,-48,100,12,0,7,10,-35,100,13,3,0,-1024,-1,1024,-1004,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-13,16:52:44.870,,0.0,0.0,3,0,0.5,0.0,0.01,0.26,49.8,0.1,21,99,WAIT,-38,-46,100,12,0,7,10,-38,100,14,2,2,-1024,1,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000040,998,1500,1500,1500,988,988,2012,2012,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
