Date,Time,Hdg(°),GSpd(kmh),Sats,RxBt(V),Curr(A),Capa(mAh),RSSI(dB),RQly(%),RSNR(dB),TPWR(mW),FRat,TLat,RFMD,VFrq,VPwr,VChn,VBan,GPS,Alt(m),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-05-09,15:09:30.700,0.0,0.0,-69,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-273,-125,507,-330,1024,-1003,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1749,1339,1438,1367,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:30.900,0.0,0.0,-66,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-468,-373,254,-302,1024,-1003,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1624,1353,1316,1272,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:31.100,0.0,0.0,-62,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-478,-465,227,-534,1024,-1006,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1611,1240,1271,1267,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:31.300,0.0,0.0,-61,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-454,-517,442,-315,1024,-1004,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1716,1347,1245,1278,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:31.500,0.0,0.0,-60,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-80,-416,952,44,1024,-1006,-1024,0,0,0,0,26,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1966,1521,1295,1461,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:31.700,0.0,0.0,-59,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,455,-65,326,739,1024,-1003,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1659,1860,1467,1722,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:31.900,0.0,0.0,-59,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,542,-296,335,570,1024,-1003,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1664,1778,1354,1764,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:32.100,0.0,0.0,-62,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,344,-246,626,315,1024,-1003,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1806,1653,1378,1667,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:32.300,0.0,0.0,-58,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-396,-179,91,-898,1024,-1004,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1544,1062,1411,1307,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:32.500,0.0,0.0,-59,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-441,-394,590,-575,1024,-1005,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1789,1220,1306,1285,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:32.700,0.0,0.0,-56,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-446,-539,824,-463,1024,-1004,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1903,1274,1235,1283,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:32.900,0.0,0.0,-58,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,-401,-446,951,-45,1024,-1003,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1967,1479,1284,1308,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:33.100,0.0,0.0,-58,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,150,52,-38,272,1024,-1007,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1482,1632,1523,1573,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:33.300,0.0,0.0,-58,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,230,-3,239,5,1024,-1003,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1617,1502,1497,1612,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2024-05-09,15:09:33.500,0.0,0.0,-55,0.0,0.0,0,0,0,0,0,0,0,,0,0,0,,,0,139,14,371,73,1024,-1003,-1024,0,0,0,0,28,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1678,1536,1505,1567,2012,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
