Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),VSpd(m/s),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-06-10,16:55:55.600,-51,-48,96,12,1,7,10,-38,100,13,0.4,38.424395 14.076834,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,2,-2,-234,37,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1386,1518,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:55.800,-51,-48,96,12,1,7,10,-38,100,13,0.4,38.424474 14.076868,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,0,11,-237,4,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1384,1501,1505,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:56.000,-48,-45,100,12,1,7,10,-43,100,13,0.4,38.424410 14.076832,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,2,32,-259,2,1024,-1004,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1374,1500,1515,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:56.200,-48,-45,100,12,1,7,10,-40,100,13,0.4,38.424473 14.076905,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,-2,20,-254,-11,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1376,1495,1509,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:56.400,-42,-46,100,12,0,7,10,-38,100,14,0.4,38.424481 14.076866,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,-3,0,-222,-25,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1392,1488,1500,1499,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:56.600,-42,-46,100,12,0,7,10,-39,100,12,0.4,38.424449 14.076862,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,-3,0,-236,-25,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1385,1488,1500,1499,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:56.800,-42,-46,100,12,0,7,10,-39,100,12,0.4,38.424422 14.076882,0.2,32.06,0,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,-1,-2,-219,112,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1393,1554,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:57.000,-42,-43,98,12,0,7,10,-38,100,13,0.4,38.424454 14.076853,0.8,9.51,4,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,0,-2,-229,22,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1388,1510,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:57.200,-42,-43,98,12,0,7,10,-41,100,13,0.4,38.424493 14.076893,0.8,9.51,4,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,-1,-1,-230,-167,1024,-1005,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1388,1419,1500,1500,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
2024-06-10,16:55:57.400,-45,-40,100,12,1,7,10,-36,100,12,0.4,38.424472 14.076858,0.8,9.51,4,15,49.7,2.5,0,100,0.01,0.02,-1.04,AIR,-27,2,-232,-130,1024,-1006,-1024,0,0,0,0,1024,1024,-1,-1,-1,-1,1,-1,-1,-1,0x0000000000000050,1387,1437,1500,1487,2012,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,8.2
